Date/Time,Seed I/O 1 - Indoor RH 1 Z3 (%),Seed I/O 1 - Indoor Temp 1 Z3 (°F),Seed I/O 1 - GH #3 PAR (PAR),Seed I/O 1 - Unit Heater,Seed I/O 1 - HAF Fans,Seed I/O 1 - Shutters Open,Seed I/O 1 - Roof Vent,Greenhouse #3 - Zone Temperature (°F),Greenhouse #3 - Zone Relative Humidity (%),Greenhouse #3 - Heating Setpoint (°F),Greenhouse #3 - Cooling Setpoint (°F),Greenhouse #3 - Rel Humidity Setpoint (%),
12/1/2018 10:45,65.24,75.65,545.91,0,55,0,0,75.65,65.24,65,80,55,
12/1/2018 11:00,54.58,73.74,582.43,0,54,0,0,73.74,54.58,65,80,55,
12/1/2018 11:15,55.82,78.2,611.46,0,60,0,0,78.2,55.82,65,80,55,
12/1/2018 11:30,50.1,80.94,575.77,0,60,0,0,80.94,50.1,65,80,55,
12/1/2018 11:45,50.19,82.03,608.6,0,60,17,20,82.03,50.19,65,80,55,
12/1/2018 12:00,49.98,79.59,654.87,0,60,0,0,79.59,49.98,65,80,55,
12/1/2018 12:15,46.83,77.15,673.37,0,60,0,0,77.15,46.83,65,80,55,
12/1/2018 12:30,47.54,79.86,652.65,0,60,0,0,79.86,47.54,65,80,55,
12/1/2018 12:45,45.75,77.27,614.66,0,60,0,0,77.27,45.75,65,80,55,
12/1/2018 13:00,51.87,80.31,617.09,0,60,0,0,80.31,51.87,65,80,55,
12/1/2018 13:15,42.06,74.73,629.99,0,53,0,0,74.72,42.06,65,80,55,
12/1/2018 13:30,40.27,74.79,629.3,0,60,0,0,74.79,40.27,65,80,55,
12/1/2018 13:45,39.44,74.3,431.93,0,60,29,0,74.3,39.44,65,80,55,
12/1/2018 14:00,44.31,81.54,546.48,0,60,0,0,81.54,44.31,65,80,55,
12/1/2018 14:15,45.95,75.57,481.74,0,60,0,0,75.57,45.95,65,80,55,
12/1/2018 14:30,47.97,80.33,552.62,0,60,0,0,80.33,47.97,65,80,55,
12/1/2018 14:45,45.57,81.2,546.57,0,60,60,20,81.2,45.57,65,80,55,
12/1/2018 15:00,49.3,80.4,519.82,0,59,0,0,80.4,49.3,65,80,55,
12/1/2018 15:15,50.49,79.45,528.87,0,60,0,0,79.45,50.49,65,80,55,
12/1/2018 15:30,49.53,77.47,463.85,0,59,0,0,77.47,49.53,65,80,55,
12/1/2018 15:45,54.07,79.31,368.67,0,60,0,0,79.3,54.07,65,80,55,
12/1/2018 16:00,62.5,77.3,314.31,0,59,0,0,77.3,62.5,65,80,55,
12/1/2018 16:15,69.75,74.79,277.56,0,59,0,0,74.79,69.75,65,80,55,
12/1/2018 16:30,74.28,72.58,272.08,0,60,0,0,72.58,74.28,65,80,55,
12/1/2018 16:45,78.77,70.58,246.83,0,60,0,0,70.58,78.77,65,80,55,
12/1/2018 17:00,80.07,69.04,245.37,0,60,0,0,69.03,80.07,65,80,55,
12/1/2018 17:15,82.68,67.55,232.31,0,59,0,0,67.55,82.68,63.28,80,57.86,
12/1/2018 17:30,83.49,66.75,215.29,0,60,0,0,66.75,83.49,62,80,60,
12/1/2018 17:45,84.89,65.86,222.4,0,59,0,0,65.86,84.89,62,80,60,
12/1/2018 18:00,85.22,65.16,224.29,0,60,0,0,65.16,85.22,62,80,60,
12/1/2018 18:15,85.3,64.48,225.59,0,59,0,0,64.47,85.3,62,80,60,
12/1/2018 18:30,85.67,64.28,224.4,0,60,0,0,64.28,85.67,62,80,60,
12/1/2018 18:45,85.25,63.56,219.53,0,59,0,0,63.55,85.25,62,80,60,
12/1/2018 19:00,86.31,63.45,228.61,0,59,0,0,63.45,86.31,62,80,60,
12/1/2018 19:15,87.13,63.27,224.9,0,59,0,0,63.27,87.13,57.98,80,65.74,
12/1/2018 19:30,91.04,60.73,0.23,0,60,0,0,60.73,91.04,55,80,70,
12/1/2018 19:45,95.35,59.37,0.14,0,60,0,0,59.37,95.35,55,80,70,
12/1/2018 20:00,96.38,58.5,0.05,0,60,0,0,58.5,96.38,55,80,70,
12/1/2018 20:15,96.82,57.63,0.15,0,59,0,0,57.63,96.81,55,80,70,
12/1/2018 20:30,97.48,56.7,0.09,0,60,0,0,56.7,97.47,55,80,70,
12/1/2018 20:45,94.78,56.91,0.2,0,59,0,0,56.91,94.78,55,80,70,
12/1/2018 21:00,91.11,57.82,0,0,59,0,0,57.82,91.11,55,80,70,
12/1/2018 21:15,96.84,56.26,0.18,0,59,0,0,56.26,96.84,55,80,70,
12/1/2018 21:30,98.49,56.14,0.1,0,60,0,0,56.14,98.49,55,80,70,
12/1/2018 21:45,96.07,57.29,0.13,0,59,0,0,57.29,96.07,55,80,70,
12/1/2018 22:00,99.3,55.96,0.17,13,59,0,0,55.96,99.3,55,80,70,
12/1/2018 22:15,98.21,56.31,0.05,0,60,0,0,56.31,98.21,55,80,70,
12/1/2018 22:30,98.95,56.19,0.1,0,59,0,0,56.19,98.95,55,80,70,
12/1/2018 22:45,99.95,56.33,0.13,0,60,0,0,56.33,99.95,55,80,70,
12/1/2018 23:00,99.2,56.33,0.09,0,60,0,0,56.32,99.2,55,80,70,
12/1/2018 23:15,95.68,57.54,0,0,60,0,0,57.53,95.68,55,80,70,
12/1/2018 23:30,100.62,56.14,0,0,60,0,0,56.14,100.62,55,80,70,
12/1/2018 23:45,98.77,56.78,0,0,60,0,0,56.78,98.77,55,80,70,
12/2/2018 00:00,99.8,56.15,0,45,60,0,0,56.14,99.8,55,80,70,
12/2/2018 00:15,99.77,56.39,0,0,60,0,0,56.39,99.76,55,80,70,
12/2/2018 00:30,95.47,58.52,0,0,60,0,0,58.52,95.47,55,80,70,
12/2/2018 00:45,100.11,56.01,0,7,53,0,0,56.01,100.11,55,80,70,
12/2/2018 01:00,99.41,56.09,0,0,55,0,0,56.09,99.42,55,80,70,
12/2/2018 01:15,98.56,56.32,0,0,60,0,0,56.31,98.56,55,80,70,
